Title,Style,Series,Number,Type,Format
AI: The Somnium Files - nirvanA Initiative,,,,Video Game,PS4
Alan Wake,digital download code,,,Video Game,Xbox One
Anthem,,,,Video Game,PS4
Assassin's Creed,,,,Video Game,XBox 360
Assassin's Creed 3,,,,Video Game,XBox 360
Assassin's Creed 3,,,,Video Game,PSVita
Assassin's Creed: Ezio Collection,"2, Brotherhood, & Revelations",Assassin's Creed,,Video Game,Xbox One
Assassin's Creed: Syndicate,,Assassin's Creed,,Video Game,Xbox One
Back 4 Blood,,,,Video Game,PS4
Batman: Arkham Asylum,,,1,Video Game,XBox 360
Batman: Arkham City,,,2,Video Game,XBox 360
Batman: Arkham Knight,,,4,Video Game,Xbox One
Batman: Arkham Origins,,,3,Video Game,XBox 360
Batman: The Telltale Series,,,,Video Game,Xbox One
Battletoads / Double Dragon,maybe worth $$,,,Video Game,Super Nintendo
Bioshock: Collection,,,,Video Game,Xbox One
Borderlands: Handsome Collection,,,,Video Game,Xbox One
Buffy the Vampire Slayer: Chaos Bleeds,,,,Video Game,PS2
Champions of Norrath,,,,Video Game,PS2
Code: Realize ~Bouquet of Rainbows~,,,,Video Game,PS4
Contra III: The Alien Wars,maybe worth $$,,,Video Game,Super Nintendo
Control,Ultimate Edition,,,Video Game,PS4
Council,,,,Video Game,Xbox One
Cupid Parasite,,,,Video Game,Nintendo Switch
Cyberpunk 2077,,,,Video Game,Xbox One
Detroit Become Human,,,,Video Game,PS4
Deus Ex: Human Revolution,,,2,Video Game,XBox 360
Deus Ex: Invisible War,,,1,Video Game,PC
Deus Ex: Mankind Divided,,,3,Video Game,Xbox One
Dishonored,Definitive Edition,,,Video Game,Xbox One
Dishonored 2,,,,Video Game,Xbox One
Dishonored: Death of the Outsider,,,,Video Game,Xbox One
Dragon Age 2,,,,Video Game,XBox 360
Dragon Age: Inquisition,GotY Edition,,,Video Game,Xbox One
Dragon Age: Origins,,,,Video Game,XBox 360
Dungeon Siege,,,,Video Game,XBox 360
Elder Scrolls: Online: Tamriel Unlimited,Tamriel Unlimited,,,Video Game,Xbox One
Elder Scrolls: Skyrim,Special Edition,,,Video Game,Xbox One
Fable Anniversary,,,,Video Game,XBox 360
Fable II,,,,Video Game,XBox 360
Fable III,,,,Video Game,XBox 360
Fallout 3,GotY Edition,,,Video Game,XBox 360
Fallout 3,Downloadable,,,Video Game,Xbox One
Fallout 4,,,,Video Game,Xbox One
Fallout 4,,,,Video Game,PS4
Fallout 76,,,,Video Game,Xbox One
Fallout New Vegas,,,,Video Game,XBox 360
Farcry 3,,,,Video Game,XBox 360
Final Fantasy VII,Remake,,,Video Game,PS4
Gotham Knights,,,,Video Game,Xbox Series X
Grand Theft Auto IV,,,,Video Game,XBox 360
Hogwarts Legacy,,,,Video Game,Xbox Series X
Horizon Zero Dawn,Complete Edition,,,Video Game,PS4
Horizon Forbidden West,Launch Edition,,,Video Game,PS5
Injustice 2,,,,Video Game,Xbox One
Jurassic Park game,,,,Video Game,Sega Genesis
Karaoke Revolution: Glee vol 3,,Karoake Revolution,,Video Game,XBox 360
Karaoke Revolution reboot,,Karoake Revolution,,Video Game,XBox 360
Karaoke Revolution Party,,Karoake Revolution,,Video Game,PS2
Karaoke Revolution vol 2,,Karoake Revolution,,Video Game,PS2
Karaoke Revolution vol 3,,Karoake Revolution,,Video Game,PS2
Karaoke Revolution: American Idol,,Karoake Revolution,,Video Game,PS2
Karaoke Revolution: American Idol Encore,,Karoake Revolution,,Video Game,XBox 360
Karaoke Revolution: American Idol Encore 2,,Karoake Revolution,,Video Game,XBox 360
Karoake Revolution,,Karoake Revolution,,Video Game,PS2
Kingdom Hearts 1.5 + 2.5 Remix,,,,Video Game,PS4
Kingdom Hearts III,,,,Video Game,PS4
Last of Us,Remaster,,,Video Game,PS4
Left 4 Dead,,,,Video Game,XBox 360
Left 4 Dead 2,,,,Video Game,XBox 360
Legend of Zelda: Breath of the Wild,,,,Video Game,Nintendo Switch
Life is Strange: Before the Storm,,,,Video Game,Xbox One
Little Big Planet,,,,Video Game,PSVita
Lord of the Rings: Return of the King,,,,Video Game,PS2
Lord of the Rings: War in the North,,,,Video Game,XBox 360
Mario Kart Deluxe 8,,,,Video Game,Nintendo Switch
Mass Effect,McKay's very scratched,,,Video Game,XBox 360
Mass Effect: Legendary Edition,,,,Video Game,Xbox One
Mass Effect 2,,,,Video Game,XBox 360
Mass Effect 3,,,,Video Game,XBox 360
Mass Effect: Andromeda,,,,Video Game,Xbox One
Middle Earth: Shadow of Mordor,,,,Video Game,Xbox One
Middle Earth: Shadow of War,,,,Video Game,Xbox One
Minecraft,,,,Video Game,Xbox One
Myst,MS-DOS CD,,,Video Game,PC
Nier: Automata,,,,Video Game,PS4
Overwatch,GotY Edition,,,Video Game,Xbox One
